sound,occurrences,snippets,category
bd,441,171,drum-sample
sd,236,102,drum-sample
hh,224,115,drum-sample
sawtooth,179,68,waveform-synth
cp,124,54,drum-sample
square,40,25,waveform-synth
triangle,35,26,waveform-synth
oh,34,21,drum-sample
lt,34,8,drum-sample
supersaw,32,13,waveform-synth
piano,27,21,other-sample
cr,27,14,drum-sample
gm_electric_bass_finger,19,18,soundfont(gm)
sine,17,12,waveform-synth
mt,16,7,drum-sample
snare,14,11,drum-sample
bass,14,9,other-sample
rim,14,12,drum-sample
rd,14,13,drum-sample
kick,12,10,drum-sample
lead,12,4,other-sample
drums,12,5,other-sample
white,12,5,noise
a,11,3,other-sample
numbers,10,1,other-sample
vocal,9,4,other-sample
gm_electric_guitar_jazz,9,9,soundfont(gm)
gm_oboe,8,8,soundfont(gm)
gm_choir_aahs,8,6,soundfont(gm)
perc,7,5,drum-sample
b,7,3,other-sample
gm_overdriven_guitar,7,6,soundfont(gm)
gm_lead_6_voice,6,6,soundfont(gm)
gm_drawbar_organ,6,6,soundfont(gm)
gm_electric_guitar_clean,6,5,soundfont(gm)
cowbell,5,4,other-sample
woodblock,5,3,other-sample
gm_electric_bass_pick,5,5,soundfont(gm)
gm_distortion_guitar,5,4,soundfont(gm)
crow,5,2,other-sample
gm_piccolo,5,4,soundfont(gm)
crash,4,4,drum-sample
shaker,4,4,other-sample
sn,4,3,drum-sample
bell,4,4,other-sample
ht,4,4,drum-sample
shaker_small,4,3,other-sample
hat,4,3,drum-sample
saw,4,3,waveform-synth
gm_church_organ,4,4,soundfont(gm)
linndrum_bd,4,4,other-sample
linndrum_sd,4,4,other-sample
gm_acoustic_guitar_steel,4,4,soundfont(gm)
gm_synth_strings_1,4,3,soundfont(gm)
amen,3,2,other-sample
gm_epiano1,3,3,soundfont(gm)
psaltery_pluck,3,3,other-sample
amencutup,3,3,other-sample
breath,3,3,other-sample
east,3,3,other-sample
rect,3,3,other-sample
gm_bassoon,3,3,soundfont(gm)
gtr,3,3,other-sample
gm_reed_organ,3,3,soundfont(gm)
gm_harmonica,3,3,soundfont(gm)
linndrum_hh,3,3,other-sample
linndrum_oh,3,3,other-sample
gm_ocarina,3,3,soundfont(gm)
z_sawtooth,3,1,zzfx-synth
breaks165,2,2,other-sample
noise,2,2,noise
cymbal,2,2,other-sample
pad,2,1,other-sample
bongo,2,2,other-sample
drum,2,1,other-sample
Ethnic,2,1,other-sample
Bass,2,1,other-sample
gm_acoustic_bass,2,2,soundfont(gm)
hh27,2,2,other-sample
misc,2,2,drum-sample
dino,2,2,other-sample
snare_rim,2,2,other-sample
gong,2,2,other-sample
brakedrum,2,2,other-sample
clavisynth,2,2,other-sample
ocarina_vib,2,2,other-sample
ellipse,2,2,other-sample
gm_vibraphone,2,2,soundfont(gm)
recorder_tenor_sus,2,2,other-sample
sax,2,2,other-sample
ocarina,2,2,other-sample
recorder_bass_sus,2,2,other-sample
gm_tenor_sax,2,2,soundfont(gm)
gm_cello,2,2,soundfont(gm)
gm_acoustic_guitar_nylon,2,2,soundfont(gm)
gm_tuba,2,2,soundfont(gm)
tambourine,2,2,other-sample
gm_pad_warm,2,2,soundfont(gm)
pulse,2,2,waveform-synth
gm_pad_bowed,2,2,soundfont(gm)
gm_baritone_sax,2,2,soundfont(gm)
gm_pizzicato_strings,2,2,soundfont(gm)
gm_trombone,2,2,soundfont(gm)
clave,2,1,other-sample
ballwhistle,2,1,other-sample
sleighbells,2,2,other-sample
gm_piano,2,2,soundfont(gm)
gm_synth_bass_1,2,2,soundfont(gm)
cajon,2,2,other-sample
SequentialCircuitsDrumtracks_cr,2,2,other-sample
gm_violin,2,2,soundfont(gm)
gm_flute,2,1,soundfont(gm)
gm_lead_1_square,2,2,soundfont(gm)
gm_lead_8_bass_lead,2,2,soundfont(gm)
gm_lead_2_sawtooth,2,2,soundfont(gm)
clap,2,1,drum-sample
num,2,1,other-sample
hats,1,1,other-sample
conga,1,1,other-sample
chord,1,1,other-sample
Sitar,1,1,other-sample
Kalimba,1,1,other-sample
Acoustic,1,1,other-sample
whirl,1,1,other-sample
attack,1,1,other-sample
rhodes,1,1,other-sample
kalimba,1,1,other-sample
mad,1,1,other-sample
flbass,1,1,other-sample
p,1,1,other-sample
my_sound,1,1,other-sample
mysaw,1,1,other-sample
flute,1,1,other-sample
xylo,1,1,other-sample
hadoken,1,1,other-sample
casio,1,1,other-sample
c4,1,1,other-sample
r8_rd,1,1,other-sample
linn9000_bd,1,1,other-sample
linn9000_sd,1,1,other-sample
linn9000_cr,1,1,other-sample
linn9000_mt,1,1,other-sample
linn9000_lt,1,1,other-sample
gm_bandoneon,1,1,soundfont(gm)
gm_clarinet,1,1,soundfont(gm)
gm_marimba,1,1,soundfont(gm)
agogo,1,1,other-sample
vibraslap,1,1,other-sample
brown,1,1,noise
anvil,1,1,other-sample
gm_string_ensemble_1,1,1,soundfont(gm)
linndrum_cr,1,1,other-sample
gm_synth_strings_2,1,1,soundfont(gm)
z_square,1,1,zzfx-synth
folkharp,1,1,other-sample
harmonica_soft,1,1,other-sample
gm_percussive_organ,1,1,soundfont(gm)
RolandTR707_cr,1,1,other-sample
RolandS50_cr,1,1,other-sample
Linn9000_cr,1,1,other-sample
gm_string_ensemble_2,1,1,soundfont(gm)
gm_contrabass,1,1,soundfont(gm)
gm_recorder,1,1,soundfont(gm)
gm_dulcimer,1,1,soundfont(gm)
gm_gunshot,1,1,soundfont(gm)
gm_applause,1,1,soundfont(gm)
gm_trumpet,1,1,soundfont(gm)
EmuDrumulator_bd,1,1,other-sample
EmuDrumulator_sd,1,1,other-sample
EmuDrumulator_oh,1,1,other-sample
EmuDrumulator_mt,1,1,other-sample
EmuDrumulator_lt,1,1,other-sample
kawai,1,1,other-sample
gm_fretless_bass,1,1,soundfont(gm)
jazz,1,1,other-sample
gm_electric_guitar_muted,1,1,soundfont(gm)
ride,1,1,drum-sample
pink,1,1,noise
